PERCENTAGE_CHANGE: 79.139201240791
NAME : a280
COMMENT : 
TYPE : TSP
DIMENSION : 40
LENGTH : 538
OPTIMAL_LENGTH : 2579
EDGE_WEIGHT_TYPE : EUC_2D
EXECUTION_TIME_SECONDS : 10.339359998703003
1 1.4574549491022437 54.19848909580954
2 3.665485277358338 56.85447571589641
3 3.106401861008723 58.282530683876274
4 1.2082138563782263 74.57427834469699
5 2.753468032253259 90.42672172317279
6 7.744940859494309 89.5140604659645
7 13.234514122696705 50.998058208146766
8 17.42026705579186 44.91470796888313
9 34.07441486260292 45.69195011910886
10 52.63995242971454 62.381221288468666
11 46.82425192680968 63.34427696495322
12 44.73316453056826 76.22904742769843
13 42.87068546457897 95.81424954514256
14 66.97947806136109 95.73991090859909
15 69.7677595521233 90.98534678152114
16 63.00235477735956 83.50346860096697
17 61.30168822577949 75.13290219574495
18 70.30776682681731 72.0012795057014
19 77.67754577249573 68.62416453664574
20 81.39685199429955 70.86451521631987
21 96.66979932130747 83.5729531860062
22 98.0938863187805 60.081609221591314
23 95.11213696125735 50.63255292570502
24 83.33332507241334 50.83099649576006
25 92.57956703978148 39.13264808925893
26 92.276479905464 17.905510581496976
27 92.10936426022346 8.835370272900134
28 87.9856856532821 11.820124030023072
29 83.53001759471462 20.22482262847841
30 78.85348774867526 28.730518478934584
31 63.69222423714195 36.22958940337371
32 54.8891947279578 18.748127314065865
33 45.03505869672711 30.391230534076552
34 39.898147621590965 24.00382065040898
35 40.81707283582108 17.090505070678642
36 44.990485125362945 11.892465400250474
37 40.768702808028614 5.536604011186008
38 31.815548111578817 14.499034716650117
39 19.449838173029576 6.964475381882396
40 4.860097468345659 25.65998959331838
